customer_id,customer_name,email,phone,address,area,pincode,registration_date,customer_segment,total_orders,avg_order_value
97475543,Niharika Nagi,ektataneja@example.org,+912987579691,"23, Nayar Path, Bihar Sharif-154625",Udupi,321865,2023-05-13,Premium,13,451.92
22077605,Megha Sachar,vedant45@example.com,+915123179717,"51/302, Buch Chowk
Srinagar-570271",Aligarh,149394,2024-06-18,Inactive,4,825.48
47822591,Hema Bahri,samiazaan@example.com,+910034076149,"941
Anne Street, Darbhanga 186125",Begusarai,621411,2024-09-25,Regular,17,1969.81
79726146,Zaitra Vig,ishanvi87@example.org,+916264232390,"43/94, Ghosh, Alappuzha 635655",Kozhikode,826054,2023-10-04,New,4,220.09
57102800,Januja Verma,atideshpande@example.org,+917293526596,"06
Om, Ambarnath 477463",Ichalkaranji,730539,2024-03-22,Inactive,14,578.14
54748429,Darsh More,ynayar@example.org,+912582120513,"26/961
Salvi Circle, Durg 406361",Visakhapatnam,883122,2024-04-22,New,2,669.35
49152878,Patrick Sandhu,zehaanmahajan@example.org,+912413014420,"304
Tara Road, Gandhinagar-559930",Gwalior,649817,2024-09-13,Premium,4,973.62
16379942,Harshil Kuruvilla,pathakanirudh@example.org,+913807361990,"37/62, Basu Chowk
Sikar 515907",Orai,332997,2024-04-10,Inactive,15,1370.56
11071601,Ojas Ahuja,sneha11@example.com,+912865080618,"H.No. 99
Kade Road
Ramgarh 695009",Buxar,528426,2023-07-04,Inactive,17,1950.54
68164013,Netra Chander,hwarrior@example.org,+917645901970,"H.No. 94
Gupta Path, Hospet-831040",Malegaon,004515,2023-06-29,New,1,1061.82
80404839,Kashish Dora,pushti81@example.net,+912463646408,"H.No. 24
Pant Street, Mathura 348430",Katni,642727,2023-04-13,Inactive,10,1537.35
27038630,Megha Thakkar,zinalsarna@example.com,+916726295759,"H.No. 81
Sama Street, Danapur-137828",Fatehpur,393286,2023-04-27,Regular,11,1307.28
1655637,Turvi Radhakrishnan,mpandit@example.org,+919130065165,"H.No. 404, Bhalla Chowk
Visakhapatnam 048875",Ichalkaranji,548633,2023-09-17,Regular,19,723.95
75566105,Dipta Doctor,peterdhaliwal@example.org,+912758132658,"586
Badami Zila, Madhyamgram-394655",Hyderabad,871594,2024-03-20,Regular,18,1432.53
23961725,Zayyan Buch,kalpithayre@example.net,+913139982063,"71/67, Oommen Ganj, Purnia 250900",Bhiwandi,629210,2024-05-11,Regular,6,367.74
67749649,Oviya Mitra,aaravdugar@example.com,+919890802849,"103, Mahajan Circle
Silchar 256345",Mira-Bhayandar,222577,2024-04-10,Inactive,11,281.16
61461253,Arin Setty,naidushivani@example.org,+917060856166,"63/164, Kari Chowk
Moradabad 624164",Amravati,381991,2024-08-29,Inactive,4,789.5
30619659,Lohit Kalla,vincent81@example.com,+914466575315,"58/882, Ramanathan
Nashik 371218",Kochi,400041,2024-09-18,Inactive,14,1992.42
50229203,Rushil Dhingra,htella@example.org,+910837043539,"H.No. 99
Ravel Street
Avadi 655413",Tiruchirappalli,598757,2023-09-14,Regular,7,1731.87
