customer_id,name,email
1,Alice Smith,alice.smith@fake.com
2,Bob Johnson,bob.johnson@domain.com
3,Charlie Brown,charlie.brown@domain.com
4,David Wilson,david.wilson@domain.org
5,Eve Davis,eve.davis@domain.com
6,Bazxni Bnotihg,bazxni.bnotihg@fake.com
7,Rddgow Sgbmkvi,rddgow.sgbmkvi@fake.com
8,Lbqfhh Glgidpz,lbqfhh.glgidpz@domain.org
9,Xlpkha Jvqcgpn,xlpkha.jvqcgpn@domain.com
10,Zholxx Ikwpiig,zholxx.ikwpiig@domain.org
11,Roaqsu Dtenrjs,roaqsu.dtenrjs@fake.com
12,Ydhfsp Jojhuty,ydhfsp.jojhuty@fake.com
13,Wbwclj Lciobgi,wbwclj.lciobgi@fake.com
14,Uqasvo Dmghnss,uqasvo.dmghnss@domain.org
15,Daeuic Jxcmrzg,daeuic.jxcmrzg@domain.org
16,Mcstvg Jvbrzmw,mcstvg.jvbrzmw@fake.com
17,Mgrfcm Iiuuxim,mgrfcm.iiuuxim@fake.com
18,Ajymzi Rncdnjf,ajymzi.rncdnjf@domain.org
19,Iunlwh Zwnsynr,iunlwh.zwnsynr@domain.com
20,Fqtwcf Eovuyoc,fqtwcf.eovuyoc@domain.org
21,Coppia Ogcfmng,coppia.ogcfmng@domain.com
22,Oprvox Qcifhox,oprvox.qcifhox@fake.com
23,Wnqvxt Muvfplq,wnqvxt.muvfplq@domain.org
24,Tohjzk Muomaen,tohjzk.muomaen@fake.com
25,Ejxuzv Iphuvvi,ejxuzv.iphuvvi@fake.com
26,Swnksx Mfxwtxj,swnksx.mfxwtxj@domain.com
27,Ltkfmt Ywrvroz,ltkfmt.ywrvroz@domain.com
28,Fndehp Ntsphuj,fndehp.ntsphuj@fake.com
29,Dqlpnw Zwhfpps,dqlpnw.zwhfpps@domain.com
30,Kevytu Pmygrbs,kevytu.pmygrbs@domain.org
31,Humrvp Aamweyu,humrvp.aamweyu@domain.org
32,Gcnhcc Kajhnap,gcnhcc.kajhnap@domain.com
33,Avrhqg Adhxpgs,avrhqg.adhxpgs@fake.com
34,Wbhkus Ooqsyml,wbhkus.ooqsyml@domain.org
35,Irbkrq Qoetbve,irbkrq.qoetbve@domain.org
36,Causqs Bacthtc,causqs.bacthtc@fake.com
37,Gucdwu Nrtpcee,gucdwu.nrtpcee@domain.com
38,Xvagjr Tygayar,xvagjr.tygayar@domain.org
39,Cctcks Ouczros,cctcks.ouczros@fake.com
40,Pmmscx Pxnxamu,pmmscx.pxnxamu@domain.org
41,Iyobzd Gziinvo,iyobzd.gziinvo@fake.com
42,Cbdbqa Nxeyuwa,cbdbqa.nxeyuwa@fake.com
43,Hvsftn Lcrupqq,hvsftn.lcrupqq@domain.com
44,Ocfzxu Ygttjfx,ocfzxu.ygttjfx@domain.org
45,Geuxbw Idzjvwv,geuxbw.idzjvwv@domain.com
46,Cslkjf Ejjhvaf,cslkjf.ejjhvaf@domain.org
47,Mldgct Wynguiz,mldgct.wynguiz@domain.org
48,Kajkzx Phqpbib,kajkzx.phqpbib@domain.com
49,Hlgema Lecsdde,hlgema.lecsdde@fake.com
50,Cgbqdp Giolucq,cgbqdp.giolucq@domain.com
51,Ibcpnx Tefbrkf,ibcpnx.tefbrkf@fake.com
52,Brlzkr Iccsjhd,brlzkr.iccsjhd@domain.com
