customer_id,name,phone
1,Alice Smith,(123) 456-7890
2,Bob Johnson,+1 123-456-7890
3,Charlie Brown,1234567890
4,David Wilson,123-456-7890
5,Eve Davis,123-456-7890
6,Bazxni Bnotihg,+1 123-456-7890
7,Rddgow Sgbmkvi,+1 123-456-7890
8,Lbqfhh Glgidpz,+1 123-456-7890
9,Xlpkha Jvqcgpn,1234567890
10,Zholxx Ikwpiig,1234567890
11,Roaqsu Dtenrjs,+1 123-456-7890
12,Ydhfsp Jojhuty,123-456-7890
13,Wbwclj Lciobgi,+1 123-456-7890
14,Uqasvo Dmghnss,(123) 456-7890
15,Daeuic Jxcmrzg,123-456-7890
16,Mcstvg Jvbrzmw,+1 123-456-7890
17,Mgrfcm Iiuuxim,1234567890
18,Ajymzi Rncdnjf,+1 123-456-7890
19,Iunlwh Zwnsynr,+1 123-456-7890
20,Fqtwcf Eovuyoc,123-456-7890
21,Coppia Ogcfmng,+1 123-456-7890
22,Oprvox Qcifhox,+1 123-456-7890
23,Wnqvxt Muvfplq,123-456-7890
24,Tohjzk Muomaen,+1 123-456-7890
25,Ejxuzv Iphuvvi,(123) 456-7890
26,Swnksx Mfxwtxj,+1 123-456-7890
27,Ltkfmt Ywrvroz,(123) 456-7890
28,Fndehp Ntsphuj,(123) 456-7890
29,Dqlpnw Zwhfpps,+1 123-456-7890
30,Kevytu Pmygrbs,+1 123-456-7890
31,Humrvp Aamweyu,1234567890
32,Gcnhcc Kajhnap,(123) 456-7890
33,Avrhqg Adhxpgs,+1 123-456-7890
34,Wbhkus Ooqsyml,123-456-7890
35,Irbkrq Qoetbve,123-456-7890
36,Causqs Bacthtc,(123) 456-7890
37,Gucdwu Nrtpcee,(123) 456-7890
38,Xvagjr Tygayar,123-456-7890
39,Cctcks Ouczros,123-456-7890
40,Pmmscx Pxnxamu,+1 123-456-7890
41,Iyobzd Gziinvo,1234567890
42,Cbdbqa Nxeyuwa,(123) 456-7890
43,Hvsftn Lcrupqq,1234567890
44,Ocfzxu Ygttjfx,+1 123-456-7890
45,Geuxbw Idzjvwv,(123) 456-7890
46,Cslkjf Ejjhvaf,(123) 456-7890
47,Mldgct Wynguiz,+1 123-456-7890
48,Kajkzx Phqpbib,123-456-7890
49,Hlgema Lecsdde,+1 123-456-7890
50,Cgbqdp Giolucq,123-456-7890
51,Ibcpnx Tefbrkf,123-456-7890
52,Brlzkr Iccsjhd,1234567890
53,Oidfqp Mzkgcws,+1 123-456-7890
