CUSTOMER_ID,CUSTOMER_NAME,COUNTRY,LOYALTY_TIER,TOTAL_PURCHASE
1,Olivia Singh,Germany,Bronze,12518
2,Rajat Taylor,USA,Gold,11754
3,Sneha Lewis,USA,Platinum,2004
4,Sneha Singh,Canada,Silver,12987
5,Ananya Wilson,Germany,Gold,2343
6,Vikram Sharma,Canada,Platinum,3491
7,John Patel,UK,Gold,1136
8,Olivia Joshi,Australia,Silver,13477
9,John Lewis,USA,Platinum,11166
10,Sara Kapoor,Germany,Platinum,9201
11,Amit Wilson,Germany,Silver,7727
12,Ananya Brown,Germany,Silver,4916
13,Priya Verma,UK,Gold,14295
14,Olivia Singh,India,Bronze,5127
15,Sneha Taylor,Canada,Bronze,9981
16,Vikram Patel,India,Bronze,3636
17,John Wilson,Canada,Bronze,14821
18,John Singh,Germany,Silver,3782
19,Ananya Wilson,India,Bronze,6056
20,John Sharma,Singapore,Platinum,9218
21,John Kapoor,Germany,Platinum,3379
22,Vikram Sharma,Canada,Silver,668
23,John Lewis,Germany,Silver,13813
24,Ananya Kapoor,Australia,Bronze,9941
25,Sara Lewis,India,Bronze,1696
26,Rajat Brown,Canada,Platinum,12018
27,Michael Singh,India,Silver,10632
28,Sara Kapoor,Germany,Gold,10283
29,Ananya Patel,Germany,Platinum,6966
30,Amit Singh,Australia,Bronze,6371
31,Sara Verma,Singapore,Platinum,11686
32,John Joshi,India,Bronze,12756
33,Sneha Verma,Canada,Silver,6386
34,Vikram Joshi,Singapore,Bronze,10016
35,Rajat Lewis,India,Gold,1936
36,Vikram Singh,Canada,Bronze,3641
37,Priya Verma,UK,Platinum,11209
38,Amit Patel,Singapore,Gold,4908
39,Olivia Patel,Canada,Bronze,12668
40,Rajat Taylor,UK,Platinum,4386
41,Sneha Sharma,India,Silver,10108
42,Sara Verma,Singapore,Platinum,6891
43,John Kapoor,UK,Platinum,8179
44,Sara Verma,Germany,Bronze,12679
45,Olivia Taylor,Canada,Silver,11503
46,Olivia Verma,Australia,Bronze,1388
47,Sneha Kapoor,Canada,Bronze,11170
48,Ananya Taylor,Germany,Silver,10671
49,Amit Kapoor,Australia,Silver,9428
50,Olivia Singh,Australia,Gold,5005
51,Sara Kapoor,Australia,Bronze,14146
52,Priya Joshi,Germany,Silver,12569
53,Amit Singh,Canada,Platinum,12538
54,Sara Brown,UK,Platinum,4575
55,Michael Sharma,Singapore,Platinum,11300
56,Vikram Sharma,USA,Bronze,8440
57,Vikram Sharma,Germany,Gold,9060
58,Olivia Joshi,India,Silver,14940
59,Rajat Sharma,India,Platinum,1826
60,Ananya Joshi,India,Platinum,8045
61,Ananya Brown,Singapore,Silver,14668
62,Michael Verma,USA,Bronze,8586
63,John Taylor,Germany,Platinum,3631
64,Olivia Singh,Australia,Silver,559
65,Amit Brown,UK,Gold,7804
66,Priya Patel,USA,Bronze,4637
67,Sneha Singh,USA,Bronze,9128
68,Michael Sharma,Australia,Silver,9257
69,Rajat Brown,Canada,Platinum,6128
70,Olivia Wilson,Germany,Platinum,11166
71,Rajat Sharma,Singapore,Gold,1278
72,Priya Wilson,Singapore,Platinum,14343
73,Priya Lewis,Canada,Gold,3251
74,Olivia Patel,Canada,Bronze,5293
75,Ananya Wilson,USA,Silver,9577
76,Vikram Kapoor,UK,Platinum,14494
77,John Taylor,Germany,Silver,3262
78,Vikram Lewis,India,Silver,5077
79,Rajat Wilson,Australia,Silver,7965
80,Amit Verma,Germany,Bronze,2817
81,Amit Taylor,UK,Platinum,12065
82,Vikram Lewis,Singapore,Bronze,12317
83,Ananya Patel,UK,Bronze,8376
84,Amit Kapoor,Germany,Gold,4844
85,John Joshi,USA,Platinum,14781
86,Olivia Wilson,Canada,Platinum,9573
87,Sara Singh,India,Silver,8524
88,Ananya Patel,India,Platinum,4179
89,Sara Patel,UK,Platinum,1198
90,Amit Sharma,UK,Platinum,6709
91,John Joshi,Australia,Bronze,7015
92,Ananya Taylor,Singapore,Bronze,4584
93,Rajat Sharma,Singapore,Platinum,10058
94,Vikram Verma,Canada,Platinum,7906
95,Olivia Sharma,UK,Gold,2342
96,John Sharma,USA,Silver,1373
97,Sara Wilson,USA,Silver,5362
98,Sneha Taylor,Singapore,Platinum,10552
99,John Lewis,Singapore,Silver,8961
100,Priya Verma,USA,Silver,8296
101,Ananya Patel,India,Silver,1939
102,Ananya Wilson,USA,Platinum,8400
103,Olivia Verma,Singapore,Gold,8873
104,Sneha Patel,Singapore,Silver,7135
105,Rajat Lewis,UK,Gold,5408
106,Vikram Kapoor,Germany,Bronze,13710
107,Olivia Lewis,India,Gold,10421
108,Sneha Patel,UK,Bronze,8808
109,Ananya Sharma,Australia,Bronze,7617
110,Amit Verma,Germany,Bronze,1982
111,Rajat Verma,Germany,Silver,11540
112,John Brown,UK,Gold,4071
113,John Verma,India,Gold,6979
114,Amit Sharma,Singapore,Silver,2497
115,Sneha Kapoor,Canada,Bronze,7446
116,Sara Lewis,Australia,Bronze,8519
117,Sneha Taylor,UK,Gold,7357
118,Sara Patel,UK,Platinum,7126
119,Priya Joshi,Germany,Platinum,7249
120,Olivia Wilson,Singapore,Silver,10410
121,John Sharma,Germany,Platinum,7267
122,Vikram Sharma,Canada,Bronze,2951
123,Rajat Taylor,India,Silver,9149
124,Olivia Lewis,Singapore,Silver,852
125,Sara Sharma,Australia,Bronze,8844
126,Michael Brown,Australia,Gold,11928
127,Sara Joshi,Germany,Silver,3199
128,Ananya Sharma,UK,Gold,14759
129,Sneha Brown,UK,Bronze,1792
130,Rajat Brown,UK,Platinum,2127
131,Amit Wilson,Canada,Gold,13735
132,Ananya Lewis,India,Gold,8451
133,Olivia Taylor,USA,Bronze,7384
134,Vikram Taylor,Canada,Silver,2296
135,Amit Taylor,Australia,Bronze,7294
136,Rajat Sharma,India,Silver,8668
137,John Wilson,UK,Bronze,1370
138,Ananya Kapoor,Canada,Platinum,7728
139,Olivia Singh,Canada,Gold,9139
140,Olivia Verma,India,Gold,880
141,Sneha Patel,Canada,Platinum,4366
142,Michael Patel,Singapore,Platinum,4608
143,John Patel,USA,Platinum,5855
144,Vikram Lewis,Germany,Gold,13709
145,Rajat Wilson,UK,Platinum,4323
