customer_id,customer_name,order_date,amount
423,April Morse,2022-03-08,465.08
406,Carol Watts,2022-05-07,483.81
210,William Atkins,2022-07-25,889.76
50,Justin Jefferson,2023-09-18,497.99
389,Diane Bernard,2022-10-05,279.4
51,Angela Lee,2022-04-27,191.97
370,Jonathan White,2022-04-28,484.92
72,Tracy Gray,2022-06-15,755.97
18,Lucas Hernandez,2023-06-01,820.14
242,Erik Brown,2023-09-03,12.95
12,Darren Young,2023-11-10,67.9
364,Robert Robinson,2023-02-09,848.84
145,Ronald Williams,2022-02-14,709.91
262,Melanie Taylor,2022-08-28,322.07
40,Jennifer Davis,2023-09-15,125.1
7,Katherine Moore,2023-07-05,76.28
41,Amanda Day,2022-12-08,750.89
196,Robert Johnson,2022-05-26,108.84
285,David Jones,2023-02-01,400.16
386,Mrs. Jennifer Long MD,2023-10-02,937.6
354,Melinda Miller,2023-03-27,519.84
495,Stephen Turner,2023-06-03,287.44
448,Lisa Thompson,2022-07-27,414.72
437,Kara Larsen,2023-09-07,220.12
45,Rachel Mckee,2022-11-18,835.07
456,Rebecca Howell,2023-02-14,255.52
78,Jason King,2023-08-22,340.54
367,Thomas Walker,2023-12-02,681.51
9,Tara White,2022-04-12,424.29
197,Matthew Butler,2022-06-16,26.18
410,Jonathan Hayes,2023-01-27,779.11
97,Gina Sullivan,2022-03-26,126.35
417,Victoria Brown,2022-07-05,527.08
152,Emily Holmes,2022-11-30,415.54
346,Keith Cook,2023-12-27,103.03
333,Shirley Spencer,2022-10-28,630.94
258,Gregory Evans,2023-01-13,191.19
434,Kelly Lutz,2022-03-12,695.89
401,Drew Martinez,2023-09-07,379.44
491,Kaitlyn Knight,2023-07-27,214.12
410,Ricardo Bennett,2022-07-23,352.19
37,Billy Davidson,2023-11-06,554.39
339,Christopher Mcintyre,2022-10-11,360.53
455,Stacy Zuniga,2022-07-12,794.73
406,Lisa Reyes MD,2023-01-24,681.3
26,Leslie Brown,2022-02-12,348.9
141,Adam Smith,2023-01-17,860.82
143,Robert Lamb,2023-07-13,44.48
117,Joe Schroeder,2023-10-19,523.45
78,Alexander Allen,2022-06-30,460.17
223,Carolyn Ward,2023-03-30,234.95
493,Linda Vargas,2023-05-04,498.54
261,Desiree Reyes,2022-07-06,100.99
266,Billy Finley,2023-08-20,326.23
442,Benjamin Powell,2023-07-26,166.15
104,Sergio Cole,2023-07-14,220.52
221,Kathy Clark,2023-04-02,832.99
265,Elizabeth Evans,2023-09-14,52.53
20,Kenneth Perez,2023-11-28,65.66
342,Nathaniel Velez,2022-10-22,684.17
4,Charles Valdez,2023-08-17,584.09
395,Michelle Davis,2023-03-24,594.75
322,Eric Rodriguez,2023-10-15,82.73
275,Rick Miller,2023-08-22,771.38
173,Alexis Jackson,2023-11-25,486.48
181,Zachary Kidd,2023-04-17,469.87
360,Dennis Heath,2022-01-28,650.08
280,Caleb Hall,2023-05-14,432.46
495,Jasmine Bruce,2022-05-27,944.94
213,Marvin Johnson,2023-10-16,20.08
318,Heather Adams,2022-11-26,936.87
214,Rachel Mccarthy,2022-11-07,322.4
422,Leslie Phelps,2022-04-08,630.19
441,Timothy Walker,2023-10-22,392.96
25,Jennifer Stevens,2023-11-25,711.06
150,Brian White,2022-07-16,272.05
98,Robert Williams,2022-11-22,529.44
194,Pamela Mitchell,2022-03-20,447.21
430,James Jones,2022-10-10,33.49
130,Michelle Sanchez,2022-01-25,474.79
43,Debra Michael,2023-08-13,882.03
407,Jordan Page,2022-05-10,134.37
341,Bobby Luna,2023-08-21,433.5
90,Alexandra Rangel,2022-12-05,463.42
184,Michelle Young,2023-07-19,221.22
57,Susan Mcmahon,2023-10-04,683.37
491,Ronald Cook,2023-06-26,564.21
313,Victoria Spencer,2022-06-06,830.67
397,Shirley Galloway,2023-12-10,170.72
466,Jenna Watkins,2023-02-23,394.22
464,James Carter,2023-06-03,572.95
