order_id,account_id,Bank_to,account_to,amount
29401,1,Air Bank,87144583,2452
29402,2,Bank Creditas,89597016,3372.7
29403,2,Fio bank ,13943797,7266
29404,3,Hypotecni bank,83084338,1135
29405,3,J&T Bank ,24485939,327
29406,3,Kameron bank,59972357,3539
29407,4,Max bank,26693541,2078
29408,4,Max bank,5848086,1285
29409,5,Moneta Money Bank,37390208,2668
29410,6,Kameron bank,44486999,3954
29411,7,PPF Bank,34452903,4880
29412,8,Max bank,12510681,2612
29413,8,PPF Bank,93210345,6712
29414,10,Max bank,18686104,7033
29415,10,Fio bank ,93182509,1344
29416,11,Bank Creditas,38470870,2132
29417,12,J&T Bank ,23010808,297
29418,12,Raiffeisen bank,63607060,3295
29419,13,Trinity Bank,35443323,2444
29420,14,Hypotecni bank,11793136,3629
29421,15,Raiffeisen bank,24265569,3072
29422,17,Trinity Bank,15076423,4032
29423,19,Fio bank ,14132368,2523.2
29425,20,Kameron bank,3399968,2003
29426,21,Air Bank,60152441,6276
29427,22,Bank Creditas,34691494,6352
29428,23,UniCredit Bank,20774019,5807
29429,24,PPF Bank,50810194,221
29430,24,Fio bank ,46086388,7641
29431,25,Air Bank,1301700,2523.2
29432,25,PPF Bank,4896235,6817
29433,25,Kameron bank,79838293,1110
29434,25,Hypotecni bank,52864879,164
29435,26,Trinity Bank,12891853,10387
29436,27,J&T Bank ,28175699,4054
29439,29,Bank Creditas,32924878,6871
29440,29,UniCredit Bank,93088209,829
29441,29,Max bank,41335338,8
29442,30,Trinity Bank,66168540,2480.2
29443,31,Bank Creditas,42430687,10202
29444,33,Raiffeisen bank,33047658,3892
29445,34,Hypotecni bank,21845197,1479
29446,34,Moneta Money Bank,19993174,502
29447,34,PPF Bank,58999049,6070
29448,35,UniCredit Bank,56788617,1022
29449,35,UniCredit Bank,99848401,1362
29450,36,J&T Bank ,80693810,4069
29451,37,Fio bank ,71644407,5307.5
29452,37,PPF Bank,29728555,2317
29453,37,Czech export bank,23782724,2584
29454,37,Air Bank,89609831,97
29455,38,Fio bank ,79067885,2306.8
29456,38,Trinity Bank,2692229,6901
29457,38,Raiffeisen bank,83435654,231
29458,38,Czech export bank,64685678,228
29459,39,J&T Bank ,77015351,145
29460,39,Hypotecni bank,949460,2970
29461,40,Bank Creditas,31161588,33
29462,40,UniCredit Bank,96111678,4301
29463,42,J&T Bank ,1007766,4239
29464,42,Raiffeisen bank,55873340,239
29465,42,Air Bank,38318204,1592
29466,43,J&T Bank ,89718746,6589
29467,44,Moneta Money Bank,11344862,2344
29470,47,Raiffeisen bank,76620852,6940
29471,47,Raiffeisen bank,37438374,174
29472,47,Trinity Bank,83359431,141
29473,47,Max bank,30289006,9
29474,48,Kameron bank,50218236,6268
29475,48,Bank Creditas,2071685,1029
29476,49,J&T Bank ,83233099,3102
29477,50,Hypotecni bank,75148117,269
29478,50,Max bank,17270559,7024
29479,51,Raiffeisen bank,71050131,2074
29480,51,Raiffeisen bank,74449389,2057
29481,52,Trinity Bank,6008005,560
29482,52,Fio bank ,85721850,3723
29483,53,UniCredit Bank,81024360,2851
29484,54,PPF Bank,90659772,2280
29485,55,Trinity Bank,53077900,3086
29486,56,Raiffeisen bank,73539948,8080
29487,57,Air Bank,55066728,4107
29489,59,PPF Bank,38201576,695
29490,59,Bank Creditas,65394794,6190
29493,61,Trinity Bank,20533621,1645
29494,61,PPF Bank,20426410,668
29495,62,Trinity Bank,80010622,2273
29496,63,J&T Bank ,85474604,2237
29497,63,Trinity Bank,8346772,157
29498,65,Air Bank,74934333,686
29499,65,J&T Bank ,20976132,3315
29500,65,Moneta Money Bank,7764506,3401
29501,66,Moneta Money Bank,17993182,4471.3
29502,67,Air Bank,45128363,6915
29503,67,Air Bank,57342255,6393
29504,67,Max bank,59079301,445
29505,68,Hypotecni bank,86834001,1705
29506,68,PPF Bank,8292192,1186
29507,68,Bank Creditas,34692824,137
29508,68,UniCredit Bank,92248808,61
29509,70,Raiffeisen bank,7699788,4150
29510,71,Air Bank,53903484,968
29511,71,PPF Bank,11544728,1602
29512,71,Czech export bank,9098768,1011
29513,71,Fio bank ,34794885,778
29514,72,Czech export bank,43079012,2923
29515,72,Trinity Bank,69338589,7109
29516,72,Bank Creditas,8297068,2286
29517,73,J&T Bank ,67077487,6061
29522,75,PPF Bank,74818038,3369
29523,76,UniCredit Bank,98325132,5208
29524,77,Bank Creditas,28454154,1709
29525,78,Hypotecni bank,32111394,9039
29526,79,J&T Bank ,15471804,2788
29527,80,PPF Bank,85687774,2252
29528,81,Fio bank ,18026441,1765
29529,81,UniCredit Bank,28429049,62
29530,81,Moneta Money Bank,62443947,229
29531,83,Kameron bank,26468819,2210
29532,83,Trinity Bank,41590857,3940
29533,84,Bank Creditas,33353132,1709
29534,84,Bank Creditas,18454540,12452
29535,85,PPF Bank,65366345,3831
29536,85,Czech export bank,81823444,1792
29537,86,Hypotecni bank,36292475,1002
29538,86,UniCredit Bank,48764252,1160
29541,88,Bank Creditas,72993069,2268
29542,90,Bank Creditas,68375611,2774
29543,90,Max bank,90134667,2375
29544,90,UniCredit Bank,89044069,4372
29545,90,Air Bank,2028567,361
29554,96,J&T Bank ,62272125,4422.1
29555,96,Fio bank ,83610647,908
29556,96,Hypotecni bank,41707503,2140
29557,96,Trinity Bank,49409562,46
29558,96,Trinity Bank,66311460,644
29559,97,Bank Creditas,69820374,1436
29560,97,J&T Bank ,33796209,2411
29561,97,Bank Creditas,83123987,3
29562,97,J&T Bank ,94469666,15
29563,97,UniCredit Bank,9693319,8573
29564,98,J&T Bank ,94078754,1569
29565,98,Hypotecni bank,95535426,749
29566,99,J&T Bank ,38411343,4503
29567,99,Trinity Bank,26847303,4682
29568,100,Max bank,6381905,598
29569,100,Moneta Money Bank,16341108,7329
29570,101,Raiffeisen bank,10926431,8037
29571,101,Moneta Money Bank,26152324,855
29572,102,Trinity Bank,24946403,7370.2
29573,102,Raiffeisen bank,63927906,3373
29574,102,Max bank,97521966,377
29575,103,UniCredit Bank,2646291,7370.2
29576,104,UniCredit Bank,82782172,578
29577,104,Bank Creditas,8965999,1464
29578,105,Max bank,58251345,7348
29579,106,Hypotecni bank,46916538,3735
29580,107,PPF Bank,67744958,2015
29581,107,PPF Bank,9999049,1580
29582,107,Fio bank ,80934089,959
29583,108,J&T Bank ,62673318,4803
29584,110,Czech export bank,24390584,3050
29585,110,Air Bank,18149984,98
29586,110,Bank Creditas,14772266,4516
29589,112,Kameron bank,41812431,2051
29590,113,Moneta Money Bank,11191487,3146
29591,114,Fio bank ,78667527,1590
29592,114,UniCredit Bank,90660798,533
29593,115,Trinity Bank,51975733,5110
29594,116,Raiffeisen bank,99229424,5529
29595,116,Bank Creditas,16828024,927
29596,117,J&T Bank ,59419953,2329
29597,118,PPF Bank,51605445,2449
29598,119,Bank Creditas,21662587,8252
29599,120,Air Bank,74934506,1899
29600,120,Bank Creditas,36501592,3965
29601,121,Air Bank,81156724,794
29602,121,Max bank,93935125,929
29603,121,UniCredit Bank,91729092,393
29604,123,Raiffeisen bank,97764080,3016
29605,124,PPF Bank,11366123,447
29606,124,Czech export bank,51247948,575
29607,124,Czech export bank,34663748,971
29608,125,PPF Bank,14166999,4422.1
29609,126,Hypotecni bank,62923598,7384
29610,127,Air Bank,11707830,2242
29611,129,PPF Bank,69084489,3417
29612,130,PPF Bank,2152455,3969
29613,131,Max bank,29374742,6904
29614,132,Hypotecni bank,80542558,7370.2
29615,133,Czech export bank,90329002,3094
29616,133,Trinity Bank,45379865,4943
29617,133,J&T Bank ,30067122,5123
29618,136,UniCredit Bank,78733890,2932
29619,137,Moneta Money Bank,71138578,3464
29620,137,Max bank,34738314,787
29621,141,Raiffeisen bank,30588215,3016.5
29622,141,Raiffeisen bank,65986662,3462
29623,141,Hypotecni bank,71174192,1791
29624,141,Moneta Money Bank,86448645,6716
29625,142,Air Bank,23734498,1845
29626,143,Air Bank,81564402,2272
29627,145,Moneta Money Bank,81546359,4815
29628,146,Kameron bank,76565843,3823
29631,148,Raiffeisen bank,29826498,487
29632,148,Moneta Money Bank,99004148,89
29633,148,Fio bank ,85938459,1736
29634,151,Fio bank ,2754378,411
29635,151,Raiffeisen bank,77260404,2668
29636,152,Czech export bank,21928644,426
29637,152,Czech export bank,16610890,2993
29638,153,Max bank,6886673,4544
29639,154,UniCredit Bank,1314569,3891
29640,155,Raiffeisen bank,13971645,2988
29641,156,Fio bank ,93965810,2030
29642,157,Kameron bank,14697784,3991
29643,158,Bank Creditas,61129736,3420
29644,159,Moneta Money Bank,1882386,8694
29645,160,Fio bank ,52787989,2374
29646,160,Bank Creditas,8854127,5552
29647,161,Moneta Money Bank,17877823,1389
