trans_id,account_id,Date,Type,operation,amount,balance,Purpose,bank,account_partern_id
732436,2503,2016-12-31,Withdrawal,Withdrawal in cash,15,27875.5,Payment on Statement,,
730715,2497,2016-12-31,Withdrawal,Withdrawal in cash,15,18709.9,Payment on Statement,,
733937,2508,2016-12-31,Withdrawal,Withdrawal in cash,15,21579.1,Payment on Statement,,
802764,2736,2016-12-31,Withdrawal,Withdrawal in cash,15,32351.4,Payment on Statement,,
801171,2732,2016-12-31,Withdrawal,Withdrawal in cash,15,65012.5,Payment on Statement,,
804543,2741,2016-12-31,Withdrawal,Withdrawal in cash,15,82501,Payment on Statement,,
1040797,3558,2016-12-31,Withdrawal,Withdrawal in cash,15,55524.6,Payment on Statement,,
1042740,3566,2016-12-31,Withdrawal,Withdrawal in cash,15,30337.5,Payment on Statement,,
3562948,982,2016-12-31,Credit,Interest Credit,102,24663.3,Interest Credited,,
3563489,998,2016-12-31,Credit,Interest Credit,151,42039.7,Interest Credited,,
3565536,1062,2016-12-31,Credit,Interest Credit,196,45575.9,Interest Credited,,
3562808,979,2016-12-31,Credit,Interest Credit,143,35168.1,Interest Credited,,
3565287,1054,2016-12-31,Credit,Interest Credit,121,27754.8,Interest Credited,,
3563780,1005,2016-12-31,Credit,Interest Credit,213,51221.5,Interest Credited,,
3562678,977,2016-12-31,Credit,Interest Credit,156,34479.2,Interest Credited,,
3565759,1071,2016-12-31,Credit,Interest Credit,70,15193.6,Interest Credited,,
3564264,1019,2016-12-31,Credit,Interest Credit,150,30979.9,Interest Credited,,
3564736,1039,2016-12-31,Credit,Interest Credit,230,42099.5,Interest Credited,,
3565162,1051,2016-12-31,Credit,Interest Credit,108,32960.3,Interest Credited,,
3563850,1006,2016-12-31,Credit,Interest Credit,116,27864.3,Interest Credited,,
3563295,991,2016-12-31,Credit,Interest Credit,148,32176,Interest Credited,,
3564074,1016,2016-12-31,Credit,Interest Credit,154,45873.8,Interest Credited,,
3565659,1069,2016-12-31,Credit,Interest Credit,38,18893,Interest Credited,,
3563628,1000,2016-12-31,Credit,Interest Credit,241,46836.2,Interest Credited,,
3565017,1048,2016-12-31,Credit,Interest Credit,113,26959.2,Interest Credited,,
3562356,965,2016-12-31,Credit,Interest Credit,114,27462.5,Interest Credited,,
3564193,1018,2016-12-31,Credit,Interest Credit,121,26484.9,Interest Credited,,
3566044,1079,2016-12-31,Credit,Interest Credit,197,52257.3,Interest Credited,,
3565100,1050,2016-12-31,Credit,Interest Credit,172,37970.6,Interest Credited,,
655651,2241,2016-12-31,Withdrawal,Withdrawal in cash,15,31588.4,Payment on Statement,,
656123,2242,2016-12-31,Withdrawal,Withdrawal in cash,30,46267.5,Payment on Statement,,
695500,2378,2016-12-31,Withdrawal,Withdrawal in cash,15,62042,Payment on Statement,,
696104,2379,2016-12-31,Withdrawal,Withdrawal in cash,15,28197.3,Payment on Statement,,
3593111,1898,2016-12-31,Credit,Interest Credit,154,37830.5,Interest Credited,,
3590022,1811,2016-12-31,Credit,Interest Credit,164,49511.8,Interest Credited,,
3590894,1830,2016-12-31,Credit,Interest Credit,91,20222.9,Interest Credited,,
3590824,1829,2016-12-31,Credit,Interest Credit,117,26689.5,Interest Credited,,
3591061,1834,2016-12-31,Credit,Interest Credit,262,66062.5,Interest Credited,,
3593008,1896,2016-12-31,Credit,Interest Credit,259,77616.6,Interest Credited,,
3592826,1891,2016-12-31,Credit,Interest Credit,116,28114.9,Interest Credited,,
3589919,1809,2016-12-31,Credit,Interest Credit,78,29160.2,Interest Credited,,
3592887,1892,2016-12-31,Credit,Interest Credit,58,19419.9,Interest Credited,,
3591209,1837,2016-12-31,Credit,Interest Credit,217,47462,Interest Credited,,
3592000,1861,2016-12-31,Credit,Interest Credit,213,38657.6,Interest Credited,,
3590247,1816,2016-12-31,Credit,Interest Credit,22,13765.7,Interest Credited,,
3591432,1844,2016-12-31,Credit,Interest Credit,78,18631,Interest Credited,,
3590704,1827,2016-12-31,Credit,Interest Credit,22,19489.3,Interest Credited,,
3592686,1887,2016-12-31,Credit,Interest Credit,143,33930.2,Interest Credited,,
3591721,1852,2016-12-31,Credit,Interest Credit,107,25792.4,Interest Credited,,
3591360,1843,2016-12-31,Credit,Interest Credit,108,23110.6,Interest Credited,,
3592320,1874,2016-12-31,Credit,Interest Credit,83,19548.6,Interest Credited,,
3593268,1902,2016-12-31,Credit,Interest Credit,137,28426.8,Interest Credited,,
3590466,1822,2016-12-31,Credit,Interest Credit,121,29672.2,Interest Credited,,
3593529,1909,2016-12-31,Credit,Interest Credit,85,19365,Interest Credited,,
3591655,1851,2016-12-31,Credit,Interest Credit,106,20825.1,Interest Credited,,
3590184,1815,2016-12-31,Credit,Interest Credit,170,40375.7,Interest Credited,,
3619701,2697,2016-12-31,Credit,Interest Credit,120,25045.8,Interest Credited,,
3618891,2671,2016-12-31,Credit,Interest Credit,101,25944.1,Interest Credited,,
3619040,2676,2016-12-31,Credit,Interest Credit,153,37131.3,Interest Credited,,
3619962,2705,2016-12-31,Credit,Interest Credit,153,23969.1,Interest Credited,,
3618051,2647,2016-12-31,Credit,Interest Credit,148,36563.9,Interest Credited,,
3619851,2701,2016-12-31,Credit,Interest Credit,150,33783.3,Interest Credited,,
3619553,2694,2016-12-31,Credit,Interest Credit,194,43190.4,Interest Credited,,
3620099,2711,2016-12-31,Credit,Interest Credit,187,40244,Interest Credited,,
