CUST_ID,CREDIT_CARD_NUMBER,BALANCE,PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,TENURE,DATE_OF_TXN
C10001,4968-9998-0301-9595,9333.84,3764.56,2280.08,1800.54,7038.37,8863.79,1373.94,4,2023-10-04
C10002,0515-0381-3066-6980,12583.34,1891.28,224.37,607.86,37612.85,696.52,428.2,29,2023-05-09
C10003,1452-6191-9623-3165,14013.07,4346.17,3967.25,1582.43,31252.14,5912.67,1729.45,23,2023-11-28
C10004,3030-0608-6915-3437,12187.69,1944.21,887.57,2131.83,10871.2,1371.79,812.75,32,2024-12-02
C10005,3675-1572-3707-1528,7769.37,2887.81,232.28,1984.06,42277.19,6657.25,4720.9,8,2023-04-03
C10006,0907-3720-5670-6552,17887.32,2388.48,2376.33,944.0,6418.7,11101.27,8291.17,12,2024-10-11
C10007,5219-4172-0211-0713,1282.79,2299.32,2273.44,1113.97,7216.59,229.2,140.25,21,2023-05-21
C10008,1385-3883-5017-0782,18292.15,3706.26,1580.7,2293.03,47758.06,12535.95,10396.35,32,2023-11-18
C10009,5321-4968-3570-9809,9559.18,4146.73,3715.86,683.5,39829.72,3459.12,2704.93,3,2023-04-23
C10010,6150-8290-4456-3290,19067.63,188.92,80.71,2082.48,16711.25,1077.47,189.47,11,2024-12-23
C10011,3738-2444-6071-4941,9605.92,1356.59,956.33,1137.95,16021.35,5070.99,1253.44,24,2023-06-12
C10012,6014-9762-8534-3623,634.06,3360.32,2066.92,747.06,22037.15,134.19,39.08,9,2024-08-24
C10013,8526-4487-4571-4676,4115.63,4945.06,3889.62,1917.64,18399.92,3490.58,885.61,28,2023-01-27
C10014,8888-6544-8683-7337,5206.54,4300.61,2513.88,2753.42,15754.49,3568.22,662.17,17,2024-07-28
C10015,5280-7650-4857-9796,14805.75,147.33,116.03,1915.15,31555.99,1649.68,1227.9,12,2023-10-13
C10016,4328-7287-6730-2532,11695.81,4457.44,189.12,739.06,26362.99,6260.43,285.19,10,2024-03-16
C10017,8856-6363-2169-3002,17195.63,4440.27,2044.79,751.62,38400.19,1462.69,385.6,22,2023-09-18
C10018,8005-3817-4022-0020,6165.25,3290.92,3199.8,753.13,14865.35,4803.73,513.66,15,2023-02-17
C10019,9117-2708-2113-0760,13371.62,4709.09,1929.61,1397.67,12053.07,12021.82,9777.32,8,2023-04-07
C10020,5952-9660-4591-6170,1728.01,1857.62,402.31,2858.51,31131.1,330.74,79.19,10,2023-08-21
C10021,0171-4413-8780-0465,18631.92,4161.51,2358.26,220.78,27850.89,9508.74,4122.8,8,2023-05-24
C10022,6537-9537-5724-7309,7240.17,2288.65,1661.44,1759.88,33402.89,813.86,710.34,9,2023-12-03
C10023,2032-1625-4770-4341,18279.68,4215.49,1526.84,1718.99,48854.56,17295.26,16959.61,25,2023-01-05
C10024,9409-0768-6871-5794,18254.23,2001.18,905.54,2620.92,11641.02,12878.44,2053.78,17,2023-01-15
C10025,5462-7827-3464-2802,6059.45,3719.13,893.3,2323.3,8719.19,1460.91,1104.82,30,2024-01-10
C10026,3106-8389-1553-3660,17555.54,2241.04,466.85,1853.51,25856.24,16337.98,15599.12,4,2023-07-09
C10027,0774-6454-4344-1871,12751.35,1367.16,746.97,2245.19,28534.3,9950.43,4329.99,7,2024-03-03
C10028,4139-9686-1307-6292,13014.97,2842.46,1814.35,1548.64,18498.25,7738.13,5518.58,8,2024-08-14
C10029,4376-6238-4431-8379,1884.55,412.39,242.73,2722.06,25899.17,1292.38,1088.72,7,2023-11-27
C10030,5230-5703-2881-7129,19787.07,2465.02,2184.02,2093.01,16898.35,15346.77,2259.75,14,2023-05-06
C10031,0326-7067-6637-5152,1528.09,2480.26,299.0,1000.94,46829.51,1296.51,852.18,14,2024-11-27
C10032,2045-5247-7023-3247,5553.9,2086.16,655.71,1746.15,25900.76,3852.76,587.36,1,2024-11-24
C10033,5568-4313-1862-1153,2424.39,3155.18,940.24,2221.67,9104.6,1276.48,474.35,14,2024-02-07
C10034,1028-8748-1500-7766,17163.13,4975.45,3135.94,491.47,46804.88,3541.93,3100.58,18,2024-09-04
C10035,2746-7969-6733-9183,1395.8,856.95,220.28,2757.73,36391.36,1174.11,503.61,21,2023-02-26
C10036,6862-6593-2897-4744,12841.39,3058.84,2263.91,1887.05,46408.89,488.67,286.04,18,2024-11-14
C10037,7918-9995-3063-3477,3047.71,4531.09,3355.21,1424.55,49972.08,1867.65,744.87,12,2024-07-26
C10038,8862-8568-0691-8075,9431.35,4207.56,2859.85,271.63,44980.1,6030.71,3577.42,11,2023-01-27
C10039,3614-2867-8228-3012,9705.04,3439.7,2549.75,2933.52,48436.5,6669.6,3727.37,10,2023-07-12
C10040,3337-4467-0856-3757,17957.9,2936.25,2179.54,1827.21,15715.75,2977.1,563.43,5,2023-10-16
C10041,0619-9916-6806-8881,17695.77,602.31,289.53,203.25,11597.72,13761.74,3476.18,22,2024-03-10
C10042,8962-9760-0671-0775,15957.68,2100.86,1440.45,573.34,14919.03,7778.52,1376.39,25,2023-09-01
C10043,3829-9713-2579-4670,14466.41,4163.49,623.4,2140.48,24770.87,10184.88,5042.57,24,2023-04-26
C10044,8056-6243-0994-2246,3488.62,3168.82,765.45,2858.18,19683.74,1210.86,258.06,3,2023-11-21
C10045,4602-6711-7957-9465,17736.66,1963.25,540.56,2763.01,46587.18,11101.62,6951.43,7,2023-12-14
C10046,5027-8573-8905-5361,10806.19,1821.52,1388.39,1260.84,46545.36,8250.1,386.43,14,2023-06-08
C10047,4074-0947-8286-4776,19027.57,4614.27,1771.06,1677.39,16466.27,7402.62,4738.24,24,2024-11-07
C10048,1551-9943-8454-2618,16149.16,1707.39,1602.25,1740.65,47384.74,11676.51,3826.61,22,2023-12-24
C10049,4389-7475-8654-7353,18146.87,3428.77,230.54,1446.01,38000.61,7343.12,2293.02,15,2023-06-21
