CUST_ID,CREDIT_CARD_NUMBER,PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PAYMENTS,TENURE,DATE_OF_TXN
C10001,8040-1365-7324-2885,2091.12,1610.41,198.47,7794.81,30,2025-01-01
C10002,8615-8275-6358-8745,3942.83,638.87,891.86,3652.43,19,2023-07-04
C10003,1458-9722-4730-9061,2475.87,410.58,2122.15,16748.92,25,2023-08-17
C10004,1851-0491-6915-4047,4155.38,3373.69,1077.46,5758.49,30,2023-01-23
C10005,7141-0173-0632-9250,699.8,381.05,1914.86,384.29,9,2024-11-18
C10006,2598-1028-1700-3751,1217.14,1059.14,325.68,8085.01,30,2023-05-03
C10007,3739-7140-0914-1803,416.82,390.93,2018.38,5419.35,28,2023-05-18
C10008,7542-6043-8834-9477,2342.83,544.14,41.36,1199.66,10,2023-08-05
C10009,2885-8940-2258-3989,2321.98,609.58,1692.81,3288.55,21,2024-11-04
C10010,1228-5801-4319-6857,3548.81,2581.29,1532.57,143.04,13,2023-05-11
C10011,8622-8050-4702-9784,1060.46,165.61,2066.47,1603.05,33,2024-07-05
C10012,4527-5436-3970-5488,1100.98,46.07,929.53,707.42,27,2023-02-26
C10013,9945-2514-8092-9460,608.73,459.51,2386.39,2079.82,4,2023-10-24
C10014,6606-7722-6553-4040,1351.32,64.67,225.33,7385.8,18,2024-10-10
C10015,8605-8493-0334-0853,2733.06,770.99,126.13,278.48,7,2024-11-20
C10016,5679-5645-1674-3393,4694.97,3472.57,1672.4,6180.68,21,2024-08-10
C10017,2027-9591-4669-9384,2161.61,1726.3,2541.8,1164.87,4,2023-08-31
C10018,3668-1414-1470-4006,2848.55,2014.49,1960.67,17464.86,13,2023-06-07
C10019,2763-4971-1157-8135,2364.05,1055.51,2756.58,11104.18,11,2024-01-03
C10020,6645-2895-7720-8195,1941.29,1927.28,2486.12,3455.77,20,2023-12-17
C10021,6593-9105-6850-6980,447.98,246,2046.9,518.65,16,2024-10-04
C10022,8502-2881-2216-1018,1895.76,965.57,61.81,7306.94,34,2023-11-29
C10023,9268-6172-8434-3156,2342.06,1530.26,584.3,9666.13,1,2024-03-26
C10024,8405-0677-4900-7959,502.11,318.39,690.23,153.39,18,2024-07-28
C10025,3253-7377-0479-2231,544.03,130.05,1871.28,7557.16,5,2024-05-15
C10026,6044-1713-4262-1207,231.67,124.63,1256.67,16230.28,30,2024-04-26
C10027,6167-3001-8093-6354,4033.45,3353.94,565.9,967.34,23,2024-02-14
C10028,3089-5236-5669-6858,645.02,198.56,41.71,236.74,15,2024-12-19
C10029,3157-7126-3071-5308,2170.81,1020.67,2184.41,15790.71,12,2024-09-16
C10030,3819-9359-9882-8198,4784.91,2289.72,2531.45,7748.79,16,2024-04-05
C10031,2302-8688-0147-2734,1725.44,1193.48,2703.34,387.59,10,2024-12-04
C10032,4180-0062-7417-9272,800.87,365.73,1362.32,8739.26,32,2023-03-25
C10033,2371-1300-9802-1193,4238.81,4025.75,1825.22,2876.48,14,2024-11-30
C10034,1573-3177-6582-6977,4261.61,938.01,1400.68,5670.69,6,2024-10-18
C10035,1547-1349-7958-1198,2006.83,1289.68,2550.8,3570.66,5,2024-02-11
C10036,0674-7586-9606-3748,1378.78,1094.02,2133.07,839,26,2023-12-19
C10037,7764-2086-2222-1702,987.2,845.42,641.75,3748.6,7,2023-05-23
C10038,9502-0067-3122-5862,3389.29,1689.86,1150.68,9477.79,22,2023-02-20
C10039,3822-7567-3725-0234,3279.77,768.52,1226.25,153.02,30,2023-04-30
C10040,3912-2553-9094-5220,3882.36,3670.63,2662.89,6078.07,6,2023-10-25
C10041,7294-4076-2564-3260,2925.9,459.54,2584.22,392.91,25,2023-11-01
C10042,1006-0262-3476-9327,179.06,67.4,1124.28,5324.68,2,2024-05-28
C10043,5582-9729-2476-1026,4343.55,964.82,1291.17,1818.57,15,2024-08-20
C10044,6417-3963-9554-6053,2785.04,586.64,867.26,180.28,12,2024-08-16
C10045,3380-0813-6466-7847,4101.7,1736.7,2008.54,11054,28,2024-10-25
C10046,3282-8890-5214-1731,1068.33,802.73,1029.01,2675.2,13,2023-01-08
C10047,8232-0611-7916-6046,2116.55,1915.7,1467.72,2450.78,5,2024-12-09
C10048,8682-0653-2698-7421,1236.21,1216.06,2387.62,2659.78,9,2023-09-30
C10049,1190-7431-7544-9142,3667.76,3010.23,2642.17,5139.27,22,2023-01-14
C10050,0813-1399-7303-5545,2634.92,226.81,2990.37,1494.94,23,2024-08-13
C10051,2753-0398-3100-1696,2493.14,386.03,9.98,207.8,26,2023-03-16
C10052,1214-4569-1985-9343,2047.07,582.89,1737.18,688.21,14,2023-08-10
C10053,6845-6150-9222-9238,4003.76,2595.48,2016.22,4597.8,13,2023-08-21
C10054,2517-4768-2832-8769,1995.51,188.41,2903.36,7897.12,36,2023-04-13
C10055,7811-1777-6104-7660,1820.05,46.26,656.98,6478.87,28,2023-11-16
C10056,6367-9016-6983-8245,483.74,57.08,471.84,1992.95,34,2023-05-09
C10057,2745-9792-9108-6166,4651.87,1159.08,2088.27,712.06,16,2024-06-04
C10058,9299-2619-5477-0701,1110.77,1052.29,102.63,7877.21,31,2023-02-16
C10059,3014-3595-9016-1982,1017.26,265.85,311,14702.52,21,2023-04-28
C10060,7253-1366-3137-7368,4621.46,1399.89,1599.21,9374.61,35,2024-12-25
C10061,2434-3224-1768-8758,4656.06,2646.21,2602.61,12896.75,26,2023-10-31
C10062,7176-1209-2198-8524,3191.74,2026.73,355.53,4095.17,20,2024-04-15
C10063,8168-6290-2018-5076,646.61,214.3,803.96,1721.27,25,2024-06-28
C10064,4156-1307-9223-8680,1797.15,1518.41,1648.78,2081.52,14,2024-08-22
C10065,2276-0182-5347-0572,3009.31,2385.43,970.37,4978.24,10,2023-08-23
C10066,8100-0309-6742-1821,2414.4,1026.07,1518.73,7773.21,29,2023-11-17
C10067,7694-5133-5934-6551,4811.21,4288.26,55.63,13559.18,3,2024-02-28
C10068,3933-0310-0923-1508,3499.78,377.05,170.23,8385.45,32,2024-01-24
C10069,3377-0659-7391-2652,2111.68,1270.27,2072.72,3642.4,35,2023-07-28
C10070,9861-0565-7917-0318,3848.26,654.85,897.31,12280.91,13,2024-07-02
C10071,4603-7655-1417-6040,4344.7,3244.08,2114.08,6514.34,18,2024-04-26
C10072,3354-7118-3920-4445,1376.77,126.11,2871.73,4230.15,27,2024-10-15
C10073,4600-6781-8454-2614,988.52,105.67,2211.82,7531.56,28,2024-01-07
C10074,1717-0359-7639-8007,2077.64,508.1,557.8,5892.85,5,2024-01-23
C10075,8180-0752-8543-1859,1587.02,270.64,575.03,79.08,9,2024-01-08
C10076,2801-7203-0006-5331,4408.08,3778.51,1930.46,14806.06,2,2024-11-08
C10077,7071-6863-5845-0637,2526.59,1490.77,204.62,5772.15,14,2024-10-04
C10078,0821-4142-4744-9677,3433.55,3138.32,588.97,739.85,12,2024-12-15
C10079,8359-5372-9729-6046,2726.66,1476.78,2162.67,2378.13,9,2024-01-21
C10080,0632-4106-7220-6944,1045.42,740.33,2413.59,825.16,14,2023-12-29
C10081,8149-8037-9324-8113,1873.48,1059.36,619.97,2336.64,5,2023-02-13
C10082,3104-0182-6351-0839,412.03,374.57,1111.9,2477.99,15,2024-05-31
C10083,2629-8798-5643-8953,3529.77,842.71,1567.43,868.38,8,2023-02-12
C10084,3764-7300-4402-0040,4079.71,1503.5,2009.46,15014.8,27,2023-12-09
C10085,0313-8531-6725-8736,4950.31,1605.82,2270.99,8499.54,12,2023-10-11
C10086,6009-5815-7522-9715,4544.77,1744.15,482.68,605.13,18,2023-03-13
C10087,3865-1987-2982-8361,1612.99,19.59,176.38,6893.34,13,2024-03-28
C10088,6198-5752-1461-0564,2023.28,1730.88,1250.74,192.23,25,2024-04-10
C10089,6656-0990-5899-2750,2666.61,662.22,305.75,1892.12,12,2023-09-22
C10090,7917-5005-4191-1966,1183.47,724.48,1168.84,2103.45,8,2023-03-15
