CUSTOMER_ID,FIRST_NAME,LAST_NAME,GENDER,DOB,CITY,STATE,ZIP,EMAIL,PHONE
C0000001,Arjun,Patel,O,1969-11-01,Indore,India,544313,arjun.patel2287@example.com,9997123679
C0000002,Kavya,Iyer,M,1994-12-22,Chennai,India,427960,kavya.iyer7777@example.com,9664037702
C0000003,Isha,Verma,O,1974-02-23,Mumbai,India,116940,isha.verma6709@example.com,9785912716
C0000004,Rita,Kumar,F,1992-03-03,Lucknow,India,594567,rita.kumar9305@example.com,9910936792
C0000005,Rita,Patel,M,1991-03-04,Nagpur,India,510314,rita.patel4743@example.com,9694710082
C0000006,Sneha,Sharma,F,1955-05-11,Kolkata,India,628101,sneha.sharma9164@example.com,9894414358
C0000007,Sneha,Singh,M,2007-08-22,Bengaluru,India,385436,sneha.singh4918@example.com,9787790914
C0000008,Pooja,Das,F,1996-09-19,Noida,India,808260,pooja.das4714@example.com,9547918677
C0000009,Aditya,Bhosle,O,1950-01-05,Chennai,India,139824,aditya.bhosle1956@example.com,9921110081
C0000010,Arjun,Bhosle,M,1954-02-17,Indore,India,489332,arjun.bhosle9521@example.com,9615917815
C0000011,Kavya,Khan,F,1951-07-09,Noida,India,609164,kavya.khan1960@example.com,9500722831
C0000012,Priya,Goyal,O,2006-04-15,Nagpur,India,382144,priya.goyal2669@example.com,9724546761
C0000013,Aarav,Patel,F,1966-07-01,Kochi,India,836959,aarav.patel2220@example.com,9483739723
C0000014,Aditya,Sharma,F,1975-06-17,Hyderabad,India,777153,aditya.sharma5833@example.com,9152307230
C0000015,Arjun,Kumar,O,1950-07-16,Kochi,India,190558,arjun.kumar8420@example.com,9308107088
C0000016,Manish,Das,M,1999-05-20,Chandigarh,India,899188,manish.das2739@example.com,9683806675
C0000017,Isha,Mehta,F,1946-05-29,Jaipur,India,425697,isha.mehta4448@example.com,9835989586
C0000018,Siddharth,Goyal,F,1999-04-06,Lucknow,India,718222,siddharth.goyal5762@example.com,9984027553
C0000019,Aditya,Sharma,M,1961-05-16,Kolkata,India,501133,aditya.sharma7945@example.com,9542375728
C0000020,Isha,Jain,M,1998-09-02,Chennai,India,272062,isha.jain8248@example.com,9337418815
C0000021,Pooja,Singh,O,1952-10-29,Indore,India,981803,pooja.singh8613@example.com,9671333359
C0000022,Siddharth,Reddy,O,1997-08-20,Hyderabad,India,592860,siddharth.reddy1252@example.com,9225161415
C0000023,Pooja,Patel,M,1964-11-03,Pune,India,436708,pooja.patel5941@example.com,9249265120
C0000024,Pooja,Bhosle,O,1960-12-05,Jaipur,India,468660,pooja.bhosle2822@example.com,9862243827
C0000025,Arjun,Sharma,O,1997-03-21,Chennai,India,244966,arjun.sharma2333@example.com,9838785008
C0000026,Sai,Kumar,M,1989-01-12,Bengaluru,India,192423,sai.kumar6961@example.com,9841760327
C0000027,Manish,Chopra,M,2000-11-19,Delhi,India,922323,manish.chopra7935@example.com,9913181224
C0000028,Ananya,Sharma,M,1998-03-10,Delhi,India,941578,ananya.sharma8413@example.com,9736918066
C0000029,Aarav,Bhosle,M,1985-02-28,Delhi,India,179465,aarav.bhosle4943@example.com,9816815464
C0000030,Aarav,Chopra,M,1996-10-02,Kochi,India,741024,aarav.chopra3366@example.com,9730933965
C0000031,Rita,Singh,M,1947-09-12,Pune,India,140680,rita.singh1488@example.com,9256290615
C0000032,Pooja,Goyal,F,1955-11-06,Pune,India,479311,pooja.goyal2631@example.com,9637552108
C0000033,Manish,Goyal,O,1986-03-01,Lucknow,India,707935,manish.goyal1120@example.com,9206413916
C0000034,Pooja,Iyer,M,1960-06-01,Chennai,India,860582,pooja.iyer3139@example.com,9402641424
C0000035,Aditya,Jain,O,2007-06-22,Indore,India,213479,aditya.jain3507@example.com,9641375551
C0000036,Pooja,Goyal,F,1974-12-25,Indore,India,728010,pooja.goyal3034@example.com,9572087589
C0000037,Rohit,Verma,M,1976-01-11,Hyderabad,India,554692,rohit.verma3511@example.com,9652172808
C0000038,Sai,Khan,M,1979-08-31,Mumbai,India,598533,sai.khan1808@example.com,9658053247
C0000039,Aditya,Bhosle,F,1981-12-30,Lucknow,India,867215,aditya.bhosle666@example.com,9188313058
C0000040,Isha,Bhosle,M,1973-05-04,Kolkata,India,589142,isha.bhosle9837@example.com,9890461268
C0000041,Arjun,Das,F,1987-08-06,Lucknow,India,537066,arjun.das4762@example.com,9559520342
C0000042,Sai,Mehta,M,1965-03-09,Noida,India,495290,sai.mehta2938@example.com,9113728694
C0000043,Rohit,Bhosle,O,1998-06-04,Hyderabad,India,569337,rohit.bhosle8564@example.com,9807110812
C0000044,Rohit,Verma,M,1994-12-31,Hyderabad,India,530085,rohit.verma9676@example.com,9209223328
C0000045,Siddharth,Jain,M,2002-01-20,Pune,India,318757,siddharth.jain5549@example.com,9315031290
C0000046,Kavya,Mehta,F,1996-11-05,Chennai,India,988821,kavya.mehta6959@example.com,9878678109
C0000047,Sneha,Kumar,O,1955-08-27,Chandigarh,India,396232,sneha.kumar6558@example.com,9482356574
C0000048,Sneha,Das,O,1971-07-30,Ahmedabad,India,646256,sneha.das4570@example.com,9258241728
C0000049,Manish,Bhosle,M,1996-11-24,Kolkata,India,623111,manish.bhosle8148@example.com,9347843014
C0000050,Rohit,Patel,M,1998-12-04,Indore,India,165419,rohit.patel1118@example.com,9634868281
C0000051,Rohit,Sharma,M,1973-07-13,Chandigarh,India,822197,rohit.sharma5357@example.com,9263999734
C0000052,Arjun,Iyer,O,1999-03-21,Jaipur,India,190234,arjun.iyer8519@example.com,9924174273
C0000053,Sneha,Chopra,F,1989-09-29,Kolkata,India,804255,sneha.chopra8158@example.com,9626402312
C0000054,Priya,Kumar,O,1977-01-12,Jaipur,India,676785,priya.kumar8956@example.com,9118973435
C0000055,Manish,Sharma,F,1997-03-04,Hyderabad,India,581980,manish.sharma5154@example.com,9504088307
C0000056,Sneha,Bhosle,M,2004-11-29,Bengaluru,India,693707,sneha.bhosle4966@example.com,9858125303
C0000057,Aditya,Bhosle,F,1995-10-18,Kolkata,India,860490,aditya.bhosle6375@example.com,9623400737
C0000058,Manish,Verma,O,1947-04-20,Ahmedabad,India,802142,manish.verma9074@example.com,9835914904
C0000059,Priya,Iyer,F,1965-03-01,Lucknow,India,273903,priya.iyer8302@example.com,9159847287
C0000060,Ananya,Kumar,F,1954-11-01,Hyderabad,India,756908,ananya.kumar5780@example.com,9922991714
C0000061,Arjun,Gupta,M,2005-05-02,Chandigarh,India,157310,arjun.gupta2101@example.com,9998651200
C0000062,Isha,Gupta,O,1955-06-21,Delhi,India,912364,isha.gupta5592@example.com,9508637554
C0000063,Vivaan,Khan,F,1975-10-19,Hyderabad,India,478332,vivaan.khan925@example.com,9810001048
C0000064,Sai,Singh,M,1949-09-19,Kolkata,India,731314,sai.singh1392@example.com,9838724998
