CUSTOMER_ID,FIRST_NAME,LAST_NAME,CITY,STATE,ZIP
C000001,Ananya,Mehta,Delhi,Delhi,160015
C000002,Reyansh,Chowdhury,Hyderabad,Telangana,232096
C000003,Kiran,Sharma,Hyderabad,Telangana,741347
C000004,Vivaan,Singh,Hyderabad,Telangana,295340
C000005,Vivaan,Patel,Hyderabad,Telangana,220687
C000006,Saanvi,Gupta,Bengaluru,Karnataka,521357
C000007,Diya,Kumar,Chennai,Tamil Nadu,215878
C000008,Asha,Chowdhury,Hyderabad,Telangana,308286
C000009,Aarav,Patel,Hyderabad,Telangana,274899
C000010,Saanvi,Sharma,Kolkata,West Bengal,434767
C000011,Diya,Singh,Mumbai,Maharashtra,489989
C000012,Reyansh,Chowdhury,Hyderabad,Telangana,525515
C000013,Asha,Sharma,Kolkata,West Bengal,153585
C000014,Vivaan,Singh,Delhi,Delhi,481369
C000015,Diya,Singh,Mumbai,Maharashtra,174044
C000016,Reyansh,Sharma,Kolkata,West Bengal,552296
C000017,Diya,Sharma,Hyderabad,Telangana,219556
C000018,Ananya,Kumar,Pune,Maharashtra,636981
C000019,Diya,Reddy,Delhi,Delhi,310235
C000020,Ananya,Singh,Bengaluru,Karnataka,135939
C000021,Rahul,Sharma,Bengaluru,Karnataka,262906
C000022,Diya,Reddy,Bengaluru,Karnataka,652335
C000023,Saanvi,Singh,Chennai,Tamil Nadu,398249
C000024,Rahul,Sharma,Delhi,Delhi,185766
C000025,Ananya,Kumar,Ahmedabad,Gujarat,518923
C000026,Diya,Gupta,Ahmedabad,Gujarat,525192
C000027,Ananya,Sharma,Chennai,Tamil Nadu,678550
C000028,Rahul,Mehta,Chennai,Tamil Nadu,497261
C000029,Vivaan,Gupta,Hyderabad,Telangana,795440
C000030,Asha,Reddy,Pune,Maharashtra,762664
C000031,Aarav,Patel,Pune,Maharashtra,564589
C000032,Reyansh,Gupta,Hyderabad,Telangana,247848
C000033,Vivaan,Reddy,Mumbai,Maharashtra,727075
C000034,Diya,Reddy,Pune,Maharashtra,237948
C000035,Rahul,Kumar,Delhi,Delhi,689304
C000036,Aarav,Reddy,Hyderabad,Telangana,512690
C000037,Asha,Kumar,Mumbai,Maharashtra,609046
C000038,Rahul,Patel,Pune,Maharashtra,561269
C000039,Kiran,Mehta,Pune,Maharashtra,131959
C000040,Saanvi,Gupta,Delhi,Delhi,770890
C000041,Diya,Reddy,Kolkata,West Bengal,338576
C000042,Asha,Singh,Hyderabad,Telangana,647833
C000043,Rahul,Reddy,Chennai,Tamil Nadu,275838
C000044,Kiran,Gupta,Bengaluru,Karnataka,445674
C000045,Asha,Sharma,Kolkata,West Bengal,171087
C000046,Saanvi,Kumar,Hyderabad,Telangana,703128
C000047,Kiran,Mehta,Kolkata,West Bengal,228451
C000048,Priya,Chowdhury,Ahmedabad,Gujarat,557600
C000049,Asha,Chowdhury,Chennai,Tamil Nadu,549792
C000050,Vivaan,Gupta,Bengaluru,Karnataka,149353
C000051,Vivaan,Kumar,Pune,Maharashtra,303075
C000052,Ananya,Kumar,Hyderabad,Telangana,324283
C000053,Aarav,Sharma,Bengaluru,Karnataka,424877
C000054,Priya,Patel,Chennai,Tamil Nadu,175318
C000055,Rahul,Kumar,Ahmedabad,Gujarat,592690
C000056,Priya,Reddy,Kolkata,West Bengal,526880
C000057,Reyansh,Sharma,Chennai,Tamil Nadu,701460
C000058,Rahul,Kumar,Delhi,Delhi,203264
C000059,Asha,Chowdhury,Bengaluru,Karnataka,335281
C000060,Asha,Kumar,Mumbai,Maharashtra,747147
C000061,Priya,Singh,Delhi,Delhi,504070
C000062,Asha,Mehta,Ahmedabad,Gujarat,462228
C000063,Kiran,Reddy,Ahmedabad,Gujarat,541839
C000064,Reyansh,Chowdhury,Ahmedabad,Gujarat,379536
C000065,Saanvi,Kumar,Ahmedabad,Gujarat,427824
C000066,Asha,Chowdhury,Hyderabad,Telangana,367426
C000067,Saanvi,Chowdhury,Chennai,Tamil Nadu,287789
C000068,Saanvi,Kumar,Delhi,Delhi,623153
C000069,Diya,Mehta,Hyderabad,Telangana,235657
C000070,Reyansh,Singh,Delhi,Delhi,345167
C000071,Rahul,Singh,Chennai,Tamil Nadu,791669
C000072,Vivaan,Reddy,Chennai,Tamil Nadu,590671
C000073,Diya,Chowdhury,Kolkata,West Bengal,180467
C000074,Aarav,Kumar,Kolkata,West Bengal,293734
C000075,Rahul,Sharma,Kolkata,West Bengal,732794
C000076,Priya,Sharma,Kolkata,West Bengal,219751
C000077,Saanvi,Reddy,Pune,Maharashtra,491050
C000078,Asha,Kumar,Kolkata,West Bengal,571079
C000079,Ananya,Gupta,Ahmedabad,Gujarat,478452
C000080,Priya,Sharma,Kolkata,West Bengal,216081
C000081,Diya,Reddy,Kolkata,West Bengal,723333
C000082,Priya,Singh,Bengaluru,Karnataka,668986
C000083,Rahul,Sharma,Mumbai,Maharashtra,220078
C000084,Rahul,Singh,Delhi,Delhi,132671
C000085,Reyansh,Sharma,Ahmedabad,Gujarat,528400
C000086,Rahul,Mehta,Hyderabad,Telangana,465528
C000087,Priya,Mehta,Chennai,Tamil Nadu,720490
C000088,Rahul,Gupta,Pune,Maharashtra,161663
C000089,Saanvi,Patel,Kolkata,West Bengal,125708
