CUST_NUM,CUST_STAT,CUST_BAL,INV_NO,INV_AMT,CRID,SSN,phone,Email
CUST83481,ACTIVE,60899,INV125437,2222.65,J4IO61QF,940-12-1300,6867864586,vnc62h64@company.com
CUST36378,ACTIVE,372788,INV504612,4924.6,1A588WL5,409-33-8654,7182759410,i6romg13@company.com
CUST74936,ACTIVE,45069,INV915341,1907.32,NIQPTJMM,321-77-8447,9564608377,xhweye49@yahoo.com
CUST66647,ACTIVE,76942,INV646691,4427.12,HZ2A3A6Z,590-52-4486,9976452340,rofn8142@yahoo.com
CUST90755,INACTIVE,82106,INV714829,2394.38,CH374VER,273-12-5809,9027195833,5hxljj93@outlook.com
CUST49313,SUSPENDED,398363,INV361627,2073.97,2E3UVECX,507-28-9479,7717191418,f16gx919@company.com
CUST22689,INACTIVE,263598,INV498346,4755.18,05B3ESI7,157-65-3792,7698025187,je456n62@gmail.com
CUST86570,SUSPENDED,477572,INV282553,2739.04,DJS43HOV,956-77-2955,6947827781,8w1iwd29@company.com
CUST74874,SUSPENDED,391927,INV143883,2325.38,V61STVX3,393-71-4702,8526162286,rziwah62@yahoo.com
CUST89636,INACTIVE,252638,INV223187,3246.62,JAIMVWLD,801-23-8770,7603567931,8xv6bp56@gmail.com
CUST98498,SUSPENDED,180688,INV604212,671.67,U39Z0PPS,463-23-8117,8708815990,m9ml4x12@company.com
CUST63710,SUSPENDED,94828,INV667155,2303.05,OSE3OWSU,178-99-3364,6943041947,3gf0d197@outlook.com
CUST83314,ACTIVE,114767,INV330245,2062.29,JMD7DHDF,268-67-6669,9526310398,1h03wm14@company.com
CUST90109,ACTIVE,294068,INV197832,738.78,GE8K7ZK3,255-47-8089,7941638101,s2b0nr63@yahoo.com
CUST52966,INACTIVE,182914,INV420564,3433.49,RQGJ1UP0,236-37-6665,7806383948,4inpxy38@outlook.com
CUST72581,SUSPENDED,421468,INV219746,3174.22,Y4DBKEHY,564-62-1256,7404143843,zwvoof43@yahoo.com
CUST74134,INACTIVE,352522,INV260400,980.82,JCP9RT8Z,833-81-3464,6563325562,klui1y61@company.com
