CUSTOMER_ID,FIRST_NAME,LAST_NAME,GENDER,DOB,CITY,STATE,ZIP,EMAIL,PHONE,LOYALTY_TIER,REGISTRATION_DATE
CUS00001,Ajay,Joshi,M,1986-12-13,Jaipur,Rajasthan,874483,user1@email.com,9619904272,Bronze,2021-10-18
CUS00002,Ajay,Kapoor,F,1994-12-19,Lucknow,Uttar Pradesh,205409,user2@email.com,9994027897,Bronze,2024-01-15
CUS00003,Meera,Joshi,M,1983-06-06,Chennai,Tamil Nadu,842411,user3@email.com,9673523188,Bronze,2024-09-03
CUS00004,Priya,Verma,M,1991-03-27,Mumbai,Maharashtra,232413,user4@email.com,9784907325,Gold,2021-02-18
CUS00005,Sneha,Sharma,F,1991-03-26,Ahmedabad,Gujarat,592198,user5@email.com,9614015466,Silver,2022-12-17
CUS00006,Priya,Gupta,F,1985-10-24,Bengaluru,Karnataka,600935,user6@email.com,9222500131,Gold,2022-11-20
CUS00007,Isha,Singh,F,1983-10-06,Pune,Maharashtra,819796,user7@email.com,9157562304,Bronze,2022-06-07
CUS00008,Rajesh,Mehta,M,1998-04-27,Chandigarh,Punjab,360247,user8@email.com,9227186396,Silver,2023-07-10
CUS00009,Swathi,Pandey,F,1972-10-20,Pune,Maharashtra,336650,user9@email.com,9932894596,Silver,2024-05-30
CUS00010,Geeta,Mishra,M,2000-03-19,Ahmedabad,Gujarat,717113,user10@email.com,9560452529,Bronze,2022-09-18
CUS00011,Priya,Pandey,Other,1995-08-31,Lucknow,Uttar Pradesh,204053,user11@email.com,9918982730,Bronze,2023-05-19
CUS00012,Arjun,Singh,M,1970-02-08,Chennai,Tamil Nadu,282256,user12@email.com,9692697161,Bronze,2023-05-15
CUS00013,Nisha,Mishra,F,1970-12-18,Mumbai,Maharashtra,592738,user13@email.com,9412737284,Bronze,2023-02-20
CUS00014,Mohan,Mehta,F,1975-08-12,Kolkata,West Bengal,576086,user14@email.com,9176428684,Silver,2023-05-16
CUS00015,Arjun,Tiwari,F,1985-03-23,Nagpur,Maharashtra,307428,user15@email.com,9556489494,Bronze,2023-05-20
CUS00016,Dev,Reddy,F,1988-12-26,Chennai,Tamil Nadu,966785,user16@email.com,9252725050,Bronze,2024-12-07
CUS00017,Ritu,Mehta,F,1985-11-02,Bengaluru,Karnataka,964278,user17@email.com,9711181411,Platinum,2022-07-12
CUS00018,Sneha,Mishra,F,1982-05-02,Ahmedabad,Gujarat,833723,user18@email.com,9532190231,Platinum,2024-10-14
CUS00019,Kavya,Bose,M,1986-02-11,Jaipur,Rajasthan,727086,user19@email.com,9142800191,Gold,2021-08-28
CUS00020,Kiran,Pandey,M,1988-01-11,Kochi,Kerala,195763,user20@email.com,9345805719,Platinum,2021-12-08
CUS00021,Neha,Tiwari,F,1982-07-30,Bhopal,Madhya Pradesh,121753,user21@email.com,9921155204,Silver,2023-12-25
CUS00022,Rajesh,Patel,F,1976-04-28,Kolkata,West Bengal,283700,user22@email.com,9605196410,Silver,2021-10-08
CUS00023,Geeta,Gupta,M,1978-11-08,Ahmedabad,Gujarat,713762,user23@email.com,9568027936,Silver,2021-10-21
CUS00024,Rohan,Bose,M,1997-01-25,Ahmedabad,Gujarat,449499,user24@email.com,9444733679,Silver,2020-08-21
CUS00025,Ananya,Rao,M,1999-05-08,Bhopal,Madhya Pradesh,619536,user25@email.com,9409471503,Silver,2020-02-09
CUS00026,Varun,Verma,M,1977-12-12,Pune,Maharashtra,192337,user26@email.com,9437710224,Bronze,2021-06-01
CUS00027,Ajay,Shah,F,1977-06-07,Delhi,Delhi,964998,user27@email.com,9101235946,Silver,2022-03-04
CUS00028,Amit,Agarwal,M,1983-04-18,Jaipur,Rajasthan,643623,user28@email.com,9488457631,Silver,2020-05-11
CUS00029,Dev,Mishra,F,1994-12-11,Ahmedabad,Gujarat,313446,user29@email.com,9386749454,Silver,2022-10-25
CUS00030,Divya,Mishra,F,1974-09-06,Nagpur,Maharashtra,608257,user30@email.com,9230380269,Bronze,2024-09-02
CUS00031,Swathi,Iyer,F,1989-03-14,Surat,Gujarat,425845,user31@email.com,9691458887,Bronze,2021-03-12
