CUST_ID,CREDIT_CARD_NUMBER,BALANCE,PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,TENURE,DATE_OF_TXN
C10001,1096-1728-8906-4460,7654.01,755.87,535.36,294.67,18361.27,7437.12,3578.72,31,2024-02-27
C10002,7996-5146-5890-5404,16815.57,3435.59,1041.89,766.62,48698.09,2806.53,1109.79,24,2023-10-15
C10003,4825-5109-5257-3762,14690.97,1803.16,23.25,1771.93,45533.54,2242.47,1445.91,26,2023-10-13
C10004,4091-1524-8476-9072,11508.82,3751.66,56.0,452.97,30683.37,2104.22,1416.98,22,2024-03-25
C10005,5160-7420-4840-2621,13417.49,2997.19,2281.97,1690.71,45314.38,9946.72,1539.83,2,2023-07-29
C10006,9404-8805-6547-5850,10672.13,3944.38,1139.05,404.56,40261.01,925.79,371.63,9,2024-12-15
C10007,2570-3318-7221-4372,6994.06,4982.39,687.3,1232.61,27995.78,532.17,439.39,5,2024-09-23
C10008,8091-7671-0685-5256,18583.6,1248.19,873.24,1815.49,9442.44,14867.9,5423.8,29,2024-06-03
C10009,8865-2673-1119-5939,6779.09,2008.53,1950.66,238.14,14979.92,3067.94,2807.6,4,2024-12-07
C10010,8738-2512-9148-3058,19369.32,2426.2,1449.7,1655.84,9019.11,6989.88,2941.19,22,2024-05-28
C10011,8725-4390-7021-9867,17997.04,3785.95,2809.22,275.28,49092.88,14413.26,11313.9,31,2024-06-30
C10012,0957-4687-1325-6461,4809.6,3153.25,1347.7,1103.68,37867.5,1175.27,782.34,17,2023-11-06
C10013,0199-6116-3206-7035,5279.24,286.06,127.06,2814.74,22857.2,4294.53,3001.09,31,2023-06-29
C10014,0532-3226-8833-9971,8787.68,188.42,179.23,321.63,25228.15,8181.99,2482.1,33,2023-01-07
C10015,3941-3579-0384-4165,10955.78,3516.27,252.02,2789.35,25562.42,119.77,71.37,36,2023-05-19
C10016,0164-9646-0849-9204,9866.16,2851.15,877.35,2019.25,11805.45,4705.84,705.8,33,2024-11-04
C10017,9807-7401-6856-9960,13183.49,3852.76,123.19,2421.85,44965.32,9658.73,6417.91,18,2024-03-10
C10018,7953-0791-7784-6219,6142.24,2938.75,2458.3,2238.63,18347.03,3840.41,2067.67,15,2024-02-24
C10019,6778-6713-3787-7118,11815.83,3256.02,1903.66,2431.15,18964.83,6435.35,5995.23,35,2024-02-10
C10020,9716-4970-5088-7540,19631.36,3413.51,690.87,2046.43,37396.69,1755.36,1220.76,32,2024-09-03
C10021,1338-9404-2886-3398,5087.95,3984.67,865.59,1336.81,8864.63,2762.02,2570.23,10,2023-07-30
C10022,3669-8641-0933-6494,1817.92,2142.09,2107.78,1380.4,42969.73,1342.94,828.88,25,2024-11-13
C10023,7562-5737-5452-2277,9645.85,4729.38,1337.72,2614.75,38972.93,1354.84,1030.29,8,2023-05-15
C10024,4320-4014-0065-9062,2693.79,4472.57,3014.39,2520.36,28990.88,2037.67,163.05,5,2024-08-30
C10025,1809-1692-7700-0500,9727.13,4662.56,3997.61,727.19,24200.44,1339.99,1320.81,25,2023-05-11
C10026,5292-6172-5902-7531,9607.89,1044.78,318.41,2471.7,5594.58,5915.84,70.44,30,2023-09-02
C10027,4497-5618-8369-9972,1327.78,2530.52,962.97,2199.57,19469.48,380.83,172.47,32,2024-12-26
C10028,2016-3734-9715-5546,12333.67,3830.77,216.4,122.2,30256.89,7993.91,3819.07,16,2023-08-18
C10029,2543-8461-3223-7398,14970.5,2829.84,2239.27,1902.49,32538.16,11192.55,3937.12,11,2024-11-30
C10030,2204-8916-7849-5983,3047.02,2955.81,2713.27,2773.33,37650.04,405.74,177.34,3,2023-01-11
C10031,3062-2384-5801-1119,2428.23,2109.63,1866.02,45.56,18471.07,2019.26,1562.84,9,2024-12-19
C10032,5416-8552-9716-2031,17147.42,1446.46,644.17,2853.26,14704.39,16943.63,10143.99,4,2024-12-23
C10033,1584-1435-1796-9496,8220.98,3214.16,106.0,1057.13,21535.47,1306.88,215.21,9,2023-11-09
C10034,4364-2718-7612-4872,12882.85,1945.2,1085.33,1732.97,25378.81,4230.3,2062.52,9,2024-12-04
C10035,4689-4205-3432-3148,18606.98,3399.83,1814.15,335.64,12973.37,3218.35,1290.08,26,2023-07-09
C10036,0699-2035-3765-1050,12839.58,429.48,311.43,1001.25,47414.78,3286.33,2747.83,16,2024-08-15
C10037,1152-0412-1140-5551,3635.3,3893.49,1364.81,2543.94,12819.38,528.67,70.33,3,2024-09-27
C10038,8879-9743-1591-8455,15694.46,1024.5,449.12,1542.55,45837.38,5482.74,3720.56,35,2023-02-20
C10039,5689-9743-3759-5590,11552.86,1161.58,152.02,1579.71,34586.78,416.06,171.81,25,2023-08-28
C10040,4351-8130-6809-7365,5952.19,2152.77,975.58,1042.62,7573.75,372.85,231.98,15,2023-01-19
C10041,5791-0908-1543-1320,5706.4,4040.36,507.46,1633.82,42505.45,3289.34,832.18,10,2024-12-24
C10042,6445-9914-0330-4562,15208.28,2714.23,655.01,312.43,30833.34,1948.72,1361.78,33,2023-02-06
C10043,8894-9953-2533-5485,2634.75,1433.03,482.03,1856.91,36354.43,878.27,655.73,11,2024-11-05
C10044,4305-0876-6242-3188,7851.6,1412.53,959.2,1302.93,7994.02,3509.37,279.12,18,2023-03-07
C10045,2825-2460-7652-8261,17557.23,4081.03,1864.88,1837.98,43346.32,9728.94,7421.59,18,2023-03-23
C10046,0262-9125-7468-0683,12002.55,4744.19,249.27,809.0,23077.07,4958.05,478.91,6,2024-11-07
C10047,7674-8761-7100-3222,3518.47,4634.24,139.79,2206.61,34450.49,829.33,261.31,32,2023-10-21
C10048,6140-3342-8138-0412,16577.46,3513.92,3341.61,1298.74,41556.34,12398.36,718.96,22,2024-07-25
C10049,5288-8391-3213-9953,6374.01,1118.91,546.57,1244.14,44765.91,6325.71,388.09,26,2024-10-04
C10050,0652-5858-0645-5232,11809.5,2921.41,1861.01,2641.29,19225.71,708.56,590.56,6,2023-05-17
C10051,7407-0891-2658-9923,9810.82,3046.15,2583.56,1320.4,15630.22,4886.29,3588.17,5,2024-12-17
C10052,4871-3074-7710-8197,17091.05,3097.43,2942.62,1624.44,23343.32,2339.79,1144.5,6,2023-04-14
C10053,7986-5704-0620-3218,12945.84,2696.4,1328.49,2282.96,21383.46,10100.54,1886.69,31,2023-04-18
C10054,6994-8200-6984-5918,9574.04,435.81,49.24,1513.07,39861.37,7182.71,5235.0,15,2023-08-06
C10055,3590-5657-0955-8768,6318.56,2590.94,234.77,1669.48,36638.12,2992.78,2655.12,16,2023-02-23
C10056,1166-6968-0089-1172,5812.66,2680.39,289.57,2643.16,26780.17,5243.39,547.92,2,2024-02-02
